REF_DATE,VALUE
1961,266424
1962,280164
1963,292406
1964,308585
1965,325790
1966,344935
1967,361692
1968,380144
1969,398869
1970,412923
1971,435616
1972,461940
1973,491520
1974,518654
1975,544239
1976,567815
1977,586643
1978,602508
1979,616949
1980,630707
1981,640987
1982,631758
1983,645912
1984,668825
1985,700775
1986,722531
1987,745545
1988,774205
1989,799256
1990,815478
1991,815689
1992,827486
1993,837852
1994,853122
1995,864802
1996,878388
1997,908045
1998,931210
1999,963982
2000,1002063
2001,1029684
2002,1067309
2003,1097231
2004,1128251
2005,1165574
2006,1212616
2007,1262538
2008,1303075
2009,1313321
2010,1357021
2011,1385353
2012,1408376
2013,1432950
2014,1462484
2015,1493195
2016,1524229
2017,1574318
2018,1616800
2019,1645532
2020,1573361
