date,V36653,V36655,V36656,V36657,V36658,V36654,V1160914547,V1038100657,V36652,v1146067265,V1160914548,v1146067266,v1146067267,V1160914549,V36663,V36670,V41550172,V36660,V36661,V1210799372,V36659,V36651,V36672,V36677,V41886561,V36681,V41886562,V1210798116,V36682,V36684,V41886563,V36671
01/01/1935,0,,,,,0,,,0,,,,,,0,,0,,,,,0,0,0,0,,,,,,,0
01/02/1935,0,,,,,0,,,0,,,,,,0,,0,,,,,0,0,0,0,,,,,,,0
01/03/1935,37,,,,,115,,,152,,,,,,0,,0,,,,,269,96,18,149,,,,,,,269
01/04/1935,25,,,,,115,,,140,,,,,,0,,3,,,,,260,88,2,164,,,,,,,260
01/05/1935,22,,,,,118,,,140,,,,,,0,,0,,,,,263,75,14,167,,,,,,,263
01/06/1935,30,,,,,121,,,150,,,,,,0,,4,,,,,279,76,20,173,,,,,,,279
01/07/1935,14,,,,,81,,,95,,,,,,0,,1,,,,,298,77,44,170,,,,,,,298
01/08/1935,25,,,,,81,,,106,,,,,,0,,1,,,,,302,80,23,192,,,,,,,302
01/09/1935,23,,,,,82,,,104,,,,,,0,,3,,,,,296,85,21,184,,,,,,,296
01/10/1935,24,,,,,82,,,107,,,,,,0,,16,,,,,312,96,18,191,,,,,,,312
01/11/1935,35,,,,,86,,,121,,,,,,0,,2,,,,,318,95,28,187,,,,,,,318
01/12/1935,28,,,,,86,,,114,,,,,,0,,4,,,,,308,100,18,182,,,,,,,308
01/01/1936,22,,,,,84,,,106,,,,,,0,,2,,,,,308,88,33,179,,,,,,,308
01/02/1936,24,,,,,84,,,109,,,,,,0,,0,,,,,303,85,24,187,,,,,,,303
01/03/1936,26,,,,,84,,,111,,,,,,0,,0,,,,,303,86,21,188,,,,,,,303
01/04/1936,20,,,,,91,,,111,,,,,,0,,2,,,,,309,90,24,187,,,,,,,309
01/05/1936,27,,,,,84,,,111,,,,,,0,,3,,,,,314,93,27,185,,,,,,,314
01/06/1936,23,,,,,88,,,112,,,,,,0,,3,,,,,311,96,18,190,,,,,,,311
01/07/1936,25,,,,,87,,,112,,,,,,0,,3,,,,,313,100,19,186,,,,,,,313
01/08/1936,24,,,,,87,,,111,,,,,,0,,3,,,,,302,107,6,181,,,,,,,302
01/09/1936,36,,,,,102,,,138,,,,,,0,,3,,,,,328,128,14,174,,,,,,,328
01/10/1936,40,,,,,113,,,154,,,,,,0,,1,,,,,348,130,22,183,,,,,,,348
01/11/1936,50,,,,,119,,,169,,,,,,0,,0,,,,,373,125,17,215,,,,,,,373
01/12/1936,44,,,,,117,,,160,,,,,,0,,0,,,,,357,136,19,187,,,,,,,357
01/01/1937,44,,,,,116,,,160,,,,,,0,,0,,,,,357,124,23,197,,,,,,,357
01/02/1937,36,,,,,120,,,157,,,,,,0,,0,,,,,358,119,30,195,,,,,,,358
01/03/1937,33,,,,,120,,,153,,,,,,0,,0,,,,,371,126,37,194,,,,,,,371
01/04/1937,33,,,,,119,,,152,,,,,,0,,0,,,,,363,129,21,200,,,,,,,363
01/05/1937,30,,,,,118,,,148,,,,,,0,,0,,,,,357,131,22,191,,,,,,,357
01/06/1937,28,,,,,106,,,134,,,,,,0,,0,,,,,351,133,15,190,,,,,,,351
01/07/1937,28,,,,,103,,,131,,,,,,0,,0,,,,,352,139,17,183,,,,,,,352
01/08/1937,40,,,,,109,,,149,,,,,,0,,0,,,,,374,148,27,185,,,,,,,374
01/09/1937,51,,,,,108,,,159,,,,,,0,,0,,,,,385,162,30,179,,,,,,,385
01/10/1937,66,,,,,114,,,179,,,,,,0,,0,,,,,405,160,32,199,,,,,,,405
01/11/1937,78,,,,,114,,,192,,,,,,0,,0,,,,,416,156,28,216,,,,,,,416
01/12/1937,67,,,,,107,,,174,,,,,,0,,0,,,,,390,165,11,196,,,,,,,390
01/01/1938,60,,,,,107,,,167,,,,,,0,,0,,,,,384,153,18,199,,,,,,,384
01/02/1938,48,,,,,107,,,155,,,,,,0,,0,,,,,375,149,21,189,,,,,,,375
01/03/1938,55,,,,,106,,,162,,,,,,0,,0,,,,,385,149,26,195,,,,,,,385
01/04/1938,52,,,,,108,,,160,,,,,,0,,7,,,,,388,156,18,196,,,,,,,388
01/05/1938,54,,,,,107,,,162,,,,,,0,,0,,,,,390,155,27,189,,,,,,,390
01/06/1938,54,,,,,112,,,166,,,,,,0,,0,,,,,387,154,21,195,,,,,,,387
