date,V15943317,V15943318,V15943319,V15943320,V15943321,V15943316
08/07/1999,17384,4375,564,461,2942,25726
15/07/1999,17004,4467,535,463,2952,25421
23/07/1999,16934,4746,539,470,2998,25687
31/07/1999,16728,4845,540,474,3025,25612
08/08/1999,16692,4858,540,475,3030,25595
15/08/1999,16787,4877,550,495,3096,25805
23/08/1999,16949,4872,540,493,3111,25965
31/08/1999,16731,4883,495,493,3111,25713
08/09/1999,16783,4908,497,492,3108,25788
15/09/1999,16793,5053,499,495,3128,25968
23/09/1999,16820,5049,477,497,3139,25982
30/09/1999,16872,5114,540,499,3211,26236
08/10/1999,17130,5047,584,497,3201,26459
15/10/1999,17146,5174,570,502,3232,26624
23/10/1999,16866,5291,546,502,3229,26434
31/10/1999,17127,5410,540,496,3195,26768
08/11/1999,17407,5459,520,494,3183,27063
15/11/1999,17401,5435,525,512,3181,27054
23/11/1999,17392,5336,537,513,3184,26962
30/11/1999,19263,5428,526,510,3170,28897
08/12/1999,19415,5708,507,513,3189,29332
15/12/1999,19177,5712,506,524,3150,29069
23/12/1999,18851,5668,519,527,3172,28737
31/12/1999,18838,5594,524,526,3164,28646
08/01/2000,18932,5675,509,528,3086,28730
15/01/2000,19197,5847,511,527,3080,29162
23/01/2000,19380,5779,520,526,3075,29280
31/01/2000,19353,5600,466,519,3031,28969
08/02/2000,19918,5760,467,517,3016,29678
15/02/2000,19884,5747,479,540,3042,29692
23/02/2000,20112,5997,476,538,3056,30179
29/02/2000,20091,5773,457,534,3032,29887
08/03/2000,20061,5793,435,533,3030,29852
15/03/2000,20195,5958,432,536,3044,30165
23/03/2000,20501,6113,426,534,3032,30606
31/03/2000,21020,6089,411,537,3050,31107
08/04/2000,21485,6093,394,535,2742,31249
15/04/2000,21274,6116,396,534,2737,31057
23/04/2000,21102,6048,393,533,2731,30807
30/04/2000,21066,5839,387,526,2616,30434
08/05/2000,21006,5720,372,521,2589,30208
15/05/2000,21035,5798,368,522,2594,30317
23/05/2000,21512,5831,367,534,2562,30806
31/05/2000,19862,6100,364,545,2612,29483
08/06/2000,20035,6208,382,552,2756,29933
15/06/2000,20518,6235,384,550,2748,30435
23/06/2000,20414,6158,382,550,2746,30250
30/06/2000,20326,6277,358,553,2646,30160
08/07/2000,20453,6163,352,549,2649,30166
15/07/2000,20340,6117,349,545,2633,29984
23/07/2000,20517,6097,347,546,2634,30141
31/07/2000,20645,6173,344,543,2517,30222
08/08/2000,20636,6034,340,541,2611,30162
15/08/2000,20656,6089,341,560,2614,30260
23/08/2000,20903,6152,340,558,2604,30557
31/08/2000,21197,6159,328,557,2337,30578
08/09/2000,21331,6088,323,554,2425,30721
15/09/2000,21139,6035,323,550,2407,30454
23/09/2000,21152,6218,324,554,2426,30674
30/09/2000,21163,6331,324,554,2325,30697
08/10/2000,21246,6203,320,551,2416,30736
15/10/2000,21313,6133,323,552,2419,30740
23/10/2000,21336,6076,321,546,2394,30673
31/10/2000,21230,6163,313,546,2292,30544
08/11/2000,21286,6284,313,549,2362,30794
15/11/2000,21100,6293,313,572,2362,30640
23/11/2000,21095,6202,315,562,2344,30518
30/11/2000,21324,6613,319,565,2256,31077
08/12/2000,21584,6565,323,570,2249,31291
15/12/2000,21932,6790,320,571,2253,31866
23/12/2000,21879,7043,324,575,2270,32091
31/12/2000,21692,7327,323,574,2508,32424
08/01/2001,21898,7222,318,577,2522,32537
15/01/2001,21835,7295,312,576,2518,32536
23/01/2001,21929,7371,315,574,2589,32778
31/01/2001,21709,7663,313,572,2581,32838
08/02/2001,21818,7326,311,570,2490,32515
15/02/2001,21650,7234,306,590,2479,32259
23/02/2001,21502,7333,303,584,2449,32171
28/02/2001,21942,7608,310,587,2464,32911
08/03/2001,21858,7716,307,588,2467,32936
15/03/2001,21890,7466,305,581,2437,32679
23/03/2001,22642,7838,306,575,2413,33774
31/03/2001,22407,7829,300,573,2403,33512
08/04/2001,22341,8153,301,576,2418,33789
15/04/2001,22185,7491,302,575,2413,32966
23/04/2001,22190,8114,306,579,2430,33619
30/04/2001,21940,8018,306,575,2368,33207
08/05/2001,21951,8146,309,576,2279,33261
15/05/2001,21961,8152,310,573,2264,33260
23/05/2001,21932,8143,330,587,2411,33403
31/05/2001,21871,8085,311,586,2408,33261
08/06/2001,21974,8105,311,583,2396,33369
15/06/2001,21594,8211,317,587,2343,33052
23/06/2001,21550,8323,318,583,2258,33032
30/06/2001,21465,8401,315,582,2252,33015
08/07/2001,21485,8444,308,579,2240,33056
15/07/2001,21432,8513,310,583,2257,33095
23/07/2001,21297,8828,313,587,2272,33297
31/07/2001,21619,9012,309,588,2276,33804
08/08/2001,21414,9110,310,588,2513,33935
15/08/2001,21477,9589,320,615,2555,34556
23/08/2001,21698,9737,320,612,2557,34924
31/08/2001,21658,9874,312,615,2571,35030
08/09/2001,20548,9733,312,609,2544,33746
15/09/2001,20401,10197,326,616,2987,34527
23/09/2001,20338,10111,334,617,2968,34368
30/09/2001,20017,10187,335,616,3064,34219
08/10/2001,20184,10417,333,615,3060,34609
15/10/2001,20280,10359,322,612,3046,34619
23/10/2001,20238,10194,315,605,3010,34362
31/10/2001,20479,10520,308,610,3038,34955
08/11/2001,20226,10544,310,610,3035,34725
15/11/2001,20042,10306,305,622,2924,34199
23/11/2001,19840,10315,302,617,2916,33990
30/11/2001,20067,10670,305,619,2924,34585
08/12/2001,19905,10463,296,619,2922,34205
15/12/2001,19903,10809,300,621,2931,34564
23/12/2001,19784,10758,292,617,2891,34342
31/12/2001,19748,10736,291,614,2859,34248
08/01/2002,19620,10825,293,614,2810,34162
15/01/2002,19722,10746,299,616,2818,34201
23/01/2002,19288,10746,295,612,2800,33741
31/01/2002,19147,10767,297,607,2826,33644
08/02/2002,19045,10946,320,609,2926,33846
15/02/2002,19078,10973,315,623,2928,33917
23/02/2002,18967,11075,280,620,2926,33868
28/02/2002,19051,11308,284,619,2918,34180
08/03/2002,18878,11422,277,625,2905,34107
15/03/2002,18989,11674,278,626,2867,34434
23/03/2002,18904,11681,281,623,2854,34343
31/03/2002,18495,11679,288,621,2946,34029
08/04/2002,18583,11829,287,624,2959,34282
15/04/2002,18597,11926,272,624,2961,34380
23/04/2002,18648,12140,274,627,2974,34663
30/04/2002,18858,12393,266,632,2807,34956
08/05/2002,18653,12455,268,633,2789,34798
15/05/2002,18690,12513,266,645,2781,34895
23/05/2002,18821,12739,274,651,2813,35298
31/05/2002,19019,12889,281,655,2832,35676
08/06/2002,18862,12978,281,655,2834,35610
15/06/2002,19098,13101,278,657,2842,35976
23/06/2002,18828,13460,278,663,3363,36592
30/06/2002,19078,13753,274,675,3410,37190
08/07/2002,19176,13634,269,672,3393,37144
15/07/2002,18187,13955,275,678,3425,36520
23/07/2002,18319,13759,275,676,3406,36435
31/07/2002,18512,13678,262,671,3287,36410
08/08/2002,18496,13632,269,666,3263,36326
15/08/2002,18468,13856,269,671,3387,36651
23/08/2002,18598,13710,264,681,3365,36618
31/08/2002,18836,13931,242,688,3399,37096
08/09/2002,17742,13770,247,690,3408,35857
15/09/2002,17904,13611,247,686,3389,35837
23/09/2002,18226,13748,249,684,3309,36216
30/09/2002,18426,13937,250,686,3316,36615
08/10/2002,18586,13698,247,683,3303,36517
15/10/2002,18611,13579,245,683,3302,36420
23/10/2002,18909,13537,241,681,3295,36663
31/10/2002,19234,13811,216,685,3310,37256
08/11/2002,18869,14149,220,693,3295,37226
15/11/2002,18546,14052,218,707,3284,36807
23/11/2002,18376,13923,217,700,3279,36495
30/11/2002,18419,13902,218,697,3265,36501
08/12/2002,18426,14083,222,697,3268,36696
15/12/2002,18696,14360,227,706,3360,37349
23/12/2002,17853,14345,206,709,3566,36679
31/12/2002,17946,14739,205,712,3567,37169
08/01/2003,17735,14733,210,715,3562,36955
15/01/2003,17789,14825,210,719,3560,37103
23/01/2003,17936,15194,218,726,3580,37654
31/01/2003,17885,15211,220,728,3591,37635
08/02/2003,17954,15283,224,725,3576,37762
15/02/2003,17870,15282,212,739,3575,37678
23/02/2003,15855,15281,211,739,3582,35668
28/02/2003,16188,15238,177,738,3560,35901
08/03/2003,16348,15300,178,745,3594,36165
15/03/2003,16397,14549,170,737,3557,35410
23/03/2003,16260,14063,170,729,3742,34964
31/03/2003,16501,14754,170,739,3762,35926
08/04/2003,16427,14394,164,732,3723,35440
15/04/2003,16386,14512,138,734,3737,35507
23/04/2003,16515,14744,141,739,3741,35880
30/04/2003,16587,15045,142,745,3744,36263
08/05/2003,16732,15564,146,753,3773,36968
15/05/2003,16634,15476,150,769,3760,36789
23/05/2003,16609,16156,157,777,3798,37497
31/05/2003,16652,16044,153,777,3797,37423
08/06/2003,16477,15776,153,778,3804,36988
15/06/2003,16725,16119,149,777,3799,37569
23/06/2003,16293,15592,150,771,4177,36983
30/06/2003,16207,15469,107,766,4150,36699
08/07/2003,16320,15069,107,763,4134,36393
15/07/2003,16236,14902,108,764,4136,36146
23/07/2003,16057,15235,110,764,4111,36277
31/07/2003,15967,14831,110,761,4096,35765
08/08/2003,15927,14999,109,763,4106,35904
15/08/2003,16094,14818,113,773,3822,35620
23/08/2003,16092,14395,111,764,3779,35141
31/08/2003,16134,14541,65,765,3785,35290
08/09/2003,16046,14493,65,770,3801,35175
15/09/2003,16314,14798,65,774,3870,35821
23/09/2003,16186,15115,67,788,3938,36094
30/09/2003,16382,15464,67,794,3971,36678
08/10/2003,16224,15243,65,797,3983,36312
15/10/2003,16253,14939,65,795,3975,36027
23/10/2003,16200,15137,67,798,3991,36193
31/10/2003,16145,14902,67,795,3947,35856
08/11/2003,15942,14765,66,788,3910,35471
15/11/2003,15990,15167,69,812,3969,36007
23/11/2003,15936,15370,68,814,3978,36166
30/11/2003,15879,15365,69,812,3968,36093
08/12/2003,15279,15488,70,825,3934,35596
15/12/2003,15312,15637,44,825,3934,35752
23/12/2003,15417,15774,45,832,3966,36034
31/12/2003,15576,15961,45,838,3848,36268
08/01/2004,15597,16287,46,840,3856,36626
15/01/2004,15680,16095,45,842,3864,36526
23/01/2004,15656,16162,45,846,3883,36592
31/01/2004,15684,15967,44,835,3836,36366
08/02/2004,15243,16016,44,839,3852,35994
15/02/2004,15321,16100,45,864,3906,36236
23/02/2004,15698,15857,44,852,3705,36156
29/02/2004,15546,15840,43,847,3705,36083
08/03/2004,15716,15736,44,843,3586,35925
15/03/2004,16193,15605,43,840,3571,36252
23/03/2004,16148,15714,45,846,3598,36351
31/03/2004,16194,15723,46,847,3602,36412
08/04/2004,16175,15350,46,843,3586,36000
15/04/2004,15723,15160,43,831,3534,35291
23/04/2004,15582,14989,43,830,3532,34976
30/04/2004,15712,15112,42,832,3415,35113
08/05/2004,15713,14930,42,834,3423,34942
15/05/2004,15951,14898,41,832,3367,35089
23/05/2004,16045,15057,42,842,3404,35390
31/05/2004,16356,15315,43,851,3411,35978
08/06/2004,15937,14581,43,854,3400,34815
15/06/2004,16112,14469,42,844,3361,34828
23/06/2004,16346,14391,43,848,3374,35002
30/06/2004,16644,14545,43,849,3335,35418
08/07/2004,16751,14701,44,856,3362,35714
15/07/2004,16817,14634,44,856,3361,35712
23/07/2004,16809,14371,43,850,3287,35360
31/07/2004,16744,14299,43,845,3267,35281
08/08/2004,16910,14702,43,845,3267,35767
15/08/2004,16932,14793,43,859,3280,35907
23/08/2004,16945,14467,45,863,3293,35613
31/08/2004,17018,14623,44,857,3345,35891
08/09/2004,17133,14273,43,855,3336,35640
15/09/2004,17338,14270,44,860,3356,35868
23/09/2004,17590,14457,45,862,3293,36247
30/09/2004,17522,14633,45,862,3198,36265
08/10/2004,17288,14472,46,861,3194,35861
15/10/2004,17287,14583,46,865,3209,35990
23/10/2004,17299,14844,46,875,3243,36307
31/10/2004,17267,15001,46,880,3262,36460
08/11/2004,17143,15125,47,887,3287,36489
15/11/2004,17141,15215,48,899,3286,36589
